region,poblacion_total,porcentaje_rural,estrato_promedio,tasa_pobreza,num_instituciones,computadores_por_estudiante,salones_por_institucion,docentes_por_institucion,cobertura_electrica,cobertura_4g,dispositivos_promedio_hogar,tasa_aprobacion,tasa_desercion,puntaje_pruebas,tiene_internet
Atlantico,2500000,25.3,2.8,35.2,450,0.45,12.5,35.2,95.2,78.5,1.8,72.3,12.5,380.5,1
Cordoba,1800000,45.2,2.2,48.5,320,0.28,10.2,28.5,82.3,52.3,1.2,65.2,22.3,320.2,0
Magdalena,1300000,60.1,2.1,55.3,210,0.15,8.5,22.1,65.1,35.2,0.8,55.8,35.2,250.1,0
Bolivar,2100000,35.8,2.5,40.1,380,0.35,11.0,30.5,78.5,65.0,1.5,68.5,18.5,355.0,1
Sucre,900000,52.0,2.3,50.2,180,0.2,9.3,25.3,72.0,48.5,1.0,60.2,28.5,290.5,0
Cesar,1400000,40.5,2.4,45.3,250,0.25,10.5,27.5,80.5,55.2,1.3,64.5,24.3,315.2,1
La Guajira,1000000,70.2,2.0,60.2,180,0.12,7.8,20.3,55.2,25.3,0.7,52.3,38.5,245.8,0
Cundinamarca,3500000,30.1,3.2,28.5,550,0.65,14.2,40.2,98.5,88.5,2.2,78.5,8.2,420.5,1
Tolima,1500000,48.3,2.6,42.1,280,0.3,11.5,32.1,85.3,62.3,1.5,70.2,15.3,375.2,1
Huila,1200000,55.0,2.4,48.5,220,0.22,10.0,28.5,75.8,45.2,1.2,63.5,22.5,305.1,0
Cauca,1600000,65.2,2.1,52.3,300,0.18,9.2,24.5,68.2,38.5,0.9,58.2,28.3,265.3,0
Nariño,1800000,58.5,2.2,50.1,320,0.2,10.1,26.3,72.5,42.0,1.1,61.0,25.2,285.5,0
Meta,1100000,42.0,2.7,38.5,200,0.4,12.0,34.0,88.0,72.5,1.7,75.0,10.5,395.0,1
Arauca,300000,68.5,2.1,55.2,80,0.1,6.5,18.5,45.2,20.1,0.6,50.1,35.2,235.2,0
Norte Santander,1500000,52.3,2.5,45.8,250,0.28,10.8,29.2,82.3,58.3,1.4,66.3,20.1,325.8,1
